,id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
0, ,40235,40549,Solid-Weak,19,0,uni,18:40:08,42
1, ,40235,40547,Solid-Weak,19,0,uni,18:39:41,42
2, ,40549,40550,Solid-Weak,19,0,uni,18:39:33,42
3, ,40549,40548,Solid,19,0,uni,18:39:24,42
4, ,40235,40548,Solid-Weak,19,0,uni,18:39:06,42
5, ,40235,40547,Solid,19,0,none,18:36:25,42
6, ,40235,40551,Solid-Weak,19,0,uni,18:37:59,42
